Numero parcometro,Nome parcometro,Latitudine,Longitudine
278,Via Galilei -Via Pusterla,45.545281908149995,10.225937317108817
279,Via Galilei lato Ovest,45.546273666853786,10.226514729247407
280,Via Galilei lato Ovest ang. V.Pisacane,45.548713615511495,10.227460317111001
282,P.ggio Caserma Goito,45.53475141053488,10.23011118307052
285,P.ggio Caserma Goito,45.53542322014238,10.23044520209289
286,P.ggio Caserma Goito,45.535098790004746,10.230399384392403
302,Largo Torrelunga civ. 14,45.5354477337761,10.23211336527746
303,Via S.S. Marco civ. 37 l,45.532666012064,10.228899182056908
305,Via S.S. Marco   lato sinistro,45.53272540087154,10.226190258217374
306,Via S.S. Marco civ. 37,45.53280312259319,10.226581907782828
307,Via S.S. Marco   lato sinistro,45.53284297984736,10.225208763480548
308,Via S.S. Marco civ. 31d,45.53296786571889,10.225552997847137
312,Via Crispi civ.37 a,45.53322053242585,10.224851021832484
313,Via Crispi civ.26,45.53335722045937,10.224752450658118
317,Via Calini civ. 22a,45.535035042070085,10.226946783105843
319,Via Callegari civ. 2a,45.535245569152565,10.228873071888385
323,Via V. Emanuele civ. 133,45.533416772011165,10.222621645986644
324,Via V. Emanuele II  civ.101,45.533587288050704,10.221727664100298
325,Via X X Settembre civ. 68,45.5329819209805,10.22122168308264
327,Via X X  Settembre civ. 72,45.53287214134535,10.221783035038735
328,C.so Cavour civ. 39,45.532872784340256,10.223118665325535
329,P.le Cremona sn,45.53210745636065,10.22236362137731
330,P.le Cremona civ. 6 - 6a,45.53210733188493,10.222364931284986
331,P.le Cremona civ. 20/a,45.53227950237077,10.222629764903257
333,Via XXV Aprile  civ.2,45.53239694385406,10.223923889664778
334,Via Solferino civ.   67,45.53141357759126,10.223655818974594
336,Via Solferino fronte civ. 57b,45.53169031516583,10.222061097943415
337,Via Solferino civ. 57,45.5317072221648,10.222137809963513
338,Via Solferino civ. 34a,45.53176688180678,10.22144488254425
339,Via S.S. Marco  lato sinistro,45.5325754690896,10.228958916639918
340,Via S.S. Marco (zona carceri),45.53342934285638,10.23201175682296
341,P.le Bortolotti (V.le Venezia) lato sud,45.53597089109281,10.233036858116675
342,P.le Bortolotti (V.le Venezia) lato nord,45.53628746525946,10.233407002950665
343,Via Indipendenza - S.Eufemia,45.52170617901907,10.271988248657216
344,Via Indipendenza - S.Eufemia,45.52283201547202,10.26958464266079
345,Via Indipendenza - S.Eufemia,45.52290908646558,10.269406361481217
346,Via Indipendenza - S.Eufemia,45.52095902890495,10.274564350715174
347,Via Cremona fr. Civ. 16c,45.52552105050792,10.223539197320019
348,Via Cremona p.zzetta circolare,45.52531481530605,10.223173075806608
349,Via Cremona fronte chiesa,45.526025568248336,10.223486228484285
350,Via Cremona civ. 64b,45.527082496577975,10.223098241232
351,Via Raffaele da Brescia civ. 13,45.527887701604946,10.224248464889524
352,Via Cremona ang. Via Forcello,45.52845678266857,10.22390295516038
355,Via XXV Aprile,45.53216308809808,10.226483198856954
356,P.le Cremona (fronte banca Mantovana),45.533039926766364,10.22220515365067
357,Via Lechi nord Via Mantova,45.53546948227849,10.23258123256218
359,Via San Gervasio,45.5306218557143,10.225224700757204
360,Parcheggio Palagiustizia,45.53093458137725,10.223668787805462
361,Parcheggio Palagiustizia,45.5308038014833,10.223500316494597
363,Parcheggio Palagiustizia,45.530977469795644,10.22341432209586
364,Parcheggio Ex Monopoli di stato,45.531511448729105,10.222018840713996
365,Parcheggio Ex Monopoli di stato,45.53170544819319,10.221495139431326
401,Via Einaudi civ. 8/10,45.53491217296467,10.218918175359224
403,Via Einaudi,45.534210707011525,10.21870765183253
404,Via Bulloni civ. 7,45.53502944636579,10.220548279609329
405,Via Bulloni civ. 14,45.53448991170542,10.22049302084705
406,Via Bulloni fronte civ. 37,45.534134506681724,10.220395650470063
407,Via Benedetto Croce civ.13,45.53451967706479,10.219215433570785
408,Via Benedetto Croce civ. 16,45.53419866731574,10.219702822149351
409,Via V. Emanuele II,fronte civ.  42,45.53456666952758,10.216211240469221
411,Via X X Settembre civ. 10,45.53430511910021,10.214250755229017
412,Via X X Settembre civ.  15,45.53425622335499,10.215066892825352
413,Via X X Settembre civ. 18d,45.53410318545683,10.215039933026857
414,Via X X Settembre  fronte civ 32,45.53422566184476,10.215727755630027
415,Via X X Settembre civ. 26,45.533942356665854,10.216057661435624
416,Via X X Settembre civ.19,45.53396219107097,10.216527562015992
417,Via X X Settembre ang. Via Romanino ,45.53386058511406,10.217056515645355
418,Via X X Settembre  fronte civ. 30,45.53377367360424,10.217474419106788
419,Via X X Settembre fronte civ.40,45.533488054858914,10.219140956933803
420,Via Saffi ,angolo Via  X X  Settembre,45.53331715431234,10.218109381077433
421,Via X X Settembre fronte civ.42,45.53338249262581,10.219570467323804
422,Via X X Settembre civ.  46,45.53333090471059,10.21913254699894
423,Via X X Settembre civ.  62b/64,45.533133352022816,10.220240941970644
424,Via X X Settembre  ang. via Bulloni,45.53323096607175,10.220540121477688
425,Rotonda Via Feramola,45.53189353404169,10.220558046631092
427,Via Solferino civ. 30,45.532136801620524,10.219938764196943
428,Via Solferino civ. 35b,45.53247622134568,10.219039382716968
430,Via Solferino civ. 21b,45.53296734937815,10.216858521062377
431,Via Solferino fronte civ. 21c,45.532807828535816,10.217003346294558
432,Via Romanino civ.1,45.53353567446448,10.216591997455406
433,Via Romanino civ 4c,45.53349363353526,10.216418059227443
434,Via Solferino civ. 15d,45.533094192029004,10.216096290978351
436,Via Solferino civ.5c,45.53343508185055,10.214635012856837
438,Via Creta civ.78 ( concess.BMW),45.528105616373004,10.214177888613941
439,Via Malta parch. centro,45.527364708762185,10.215090451386077
440,Via Malta parch. sud,45.52708895438495,10.214980480821643
442,Via Gambara ang.V.Saffi,45.53174316819528,10.216978063716134
444,Via Aldo Moro piazzetta,45.5242016551067,10.21428393239033
445,Via Cipro fr. civ. 15,45.52466495544004,10.21074077634823
446,Via Cipro civ. 76,45.524031800627064,10.210425911789885
447,Via Cipro civ. 15,45.524563010842705,10.210939930355476
448,Via Cipro civ. 1,45.52554477305898,10.211411929740915
450,Via X X Settembre ang Romanino,45.53371423952248,10.216990048570755
451,Via Ferramola,45.5315230566964,10.220175363656372
452,Via Saffi cav Kennedy,45.53220144715257,10.217638244379486
453,Via Solferino/Saffi,45.53249225255917,10.21832964159705
454,Via Saffi cav Kennedy,45.532269087856236,10.217235913021465
455,Via Aldo Moro fr. INAIL,45.524393187293406,10.212158505393884
456,Via Aldo Moro,45.52336699221412,10.212760232192707
471,Via Ugo la malfa (Sede Notarile),45.528409493097584,10.217414762870987
472,Via Ugoni civ. 7,45.54057180817842,10.210393228359914
473,ViaUgo la  Malfa (Sede Notarile),45.52840758274347,10.217413572423105
474,ViaUgo la  Malfa (Sede Notarile),45.52887865710042,10.217228843610544
475,Via Creta parcheggio,45.528652798212235,10.213526475639135
477,Via Corfù lato SUD,45.5272154193641,10.211554172427952
479,Via Nisida contr. Sud,45.52971581284315,10.207530310712116
480,Via Cefalonia fr UBI Banca,45.52511593415875,10.21701381649233
481,Via Cefalonia ponte condominiale,45.52578385231246,10.213610023520138
482,Via Malta,45.52708037926644,10.214978642747212
485,Parcheggio 3 Torri,45.52167428257821,10.196938776630288
487,Parcheggio 3 Torri,45.52111802686771,10.19651926109522
502,Via Ugoni fronte civ. 22,45.53870475905811,10.21018520401021
504,Via F.lli Bronzetti sn,45.53750604399519,10.210237754148478
505,Via Ugoni fronte civ. 32b,45.53736725569625,10.209877184171578
506,Via X X Settembre fronte civ. 14,45.53444716925942,10.214643709330685
508,V.le Piave,45.53045997142165,10.245360250994757
512,Via F.lli Porcellaga,45.538481529762336,10.217685220056417
514,P.le Repubblica,fr. Camera del Lav.,45.53505953606106,10.210866044918077
515,P.le Repubblica ,civ,24/25,45.53411310576474,10.211675942675475
519,C.so Martiri libertà,45.53663966310207,10.214444615289217
520,Via Solferino civ.2d,45.53386829310081,10.212962190504717
521,C.so Martiri libertà,45.536493256130065,10.2140718772454
522,Via X X Settembre  fronte civ . 2c,45.53465459162859,10.21287885278184
