stop_id,stop_name,stop_lat,stop_lon,location_type,zone_id
8079,"Desenzano d.Garda, Mezzocolle/Curtatone",45.46873015,10.53313472,0,ZDE
808,"Botticino, Marconi fr.3",45.53539963,10.31319492,0,Z2
8080,"Desenzano d.Garda, Mezzocolle fr.Trento",45.46712546,10.53192924,0,ZDE
8081,"Desenzano d.Garda, Mezzocolle/Valeggio",45.46456096,10.53057368,0,ZDE
8082,"Desenzano d.Garda, Vicina, Parcheggio",45.4634293,10.53139528,0,ZDE
8083,"Desenzano d.Garda, Delle Mimose, 20",45.45429697,10.53144219,0,ZDE
8084,"Desenzano d.Garda, Degli Oleandri",45.45286564,10.53413549,0,ZDE
8085,"Desenzano d.Garda, Grezze",45.45569934,10.53325472,0,ZDE
8086,"Desenzano d.Garda, El Alamein 4",45.45897231,10.53150003,0,ZDE
8087,"Desenzano d.Garda, M.Suello/A.Moro",45.45985346,10.53081001,0,ZDE
809,"Brescia, Bevilacqua 27",45.54668255,10.19808569,0,Z1
8090,"Desenzano d.Garda, Mattei",45.45044164,10.56803623,0,ZDE
8091,"Desenzano d.Garda, C.dei Lager",45.46429664,10.52779395,0,ZDE
8092,"Desenzano d.Garda, Montecorno/Bevilacqua",45.47057941,10.52834818,0,ZDE
8093,"Desenzano d.Garda, Rimembranze 80",45.4717312,10.53105643,0,ZDE
8094,"Desenzano d.Garda, Venezia fr.104",45.45172473,10.57016277,0,ZDE
8095,"Desenzano d.Garda, Venezia 104",45.45157124,10.56999865,0,ZDE
8096,"Desenzano d.Garda, Pratomaggiore fr.255",45.4534193,10.56527303,0,ZDE
8097,"Desenzano d.Garda, Pratomaggiore 255",45.45356021,10.56528707,0,ZDE
8098,"Desenzano d.Garda, Alfieri/Pratomaggiore",45.45600114,10.56521249,0,ZDE
8099,"Desenzano d.Garda, Rambrotti 4",45.46631514,10.5456886,0,ZDE
81,"Brescia, Triumplina 90",45.56656271,10.2298725,0,Z1
810,"Brescia, Nicolini 6",45.54646031,10.19583566,0,Z1
811,"Brescia, Q.re I Maggio 14",45.53635752,10.20075545,0,Z1
812,"Borgosatollo, Facchi fr.49",45.4730688,10.23922018,0,Z2
813,"Borgosatollo, Rovetta fr.48",45.47378267,10.23677294,0,Z2
814,"Brescia, Trisia 56",45.54031947,10.16595336,0,Z1
815,"Brescia, A.Cantore 9, ITIS",45.55599938,10.2159221,0,Z1
816,"Botticino, Marconi 140",45.5381257,10.31703585,0,Z2
817,"Brescia, Europa, Politecnico",45.56623878,10.23720534,0,Z1
818,"Brescia, Zambaldi fr.49",45.52557494,10.29201206,0,Z1
819,"Brescia, Zambaldi 44",45.52429438,10.29070928,0,Z1
82,"Brescia, Triumplina 132",45.56887665,10.23110437,0,Z1
820,"Brescia, Goldoni 13",45.52196931,10.28715372,0,Z1
821,"Botticino, Marconi fr.51",45.54114155,10.32026831,0,Z2
822,"Botticino, Capolinea",45.54272059,10.32258022,0,Z2
824,"Botticino, Marconi 84",45.54147825,10.32049277,0,Z2
825,"Botticino, Marconi",45.53950874,10.31822888,0,Z2
826,"Botticino, Marconi 3",45.53532529,10.31288718,0,Z2
827,"Botticino, Molini 10",45.53337249,10.31187886,0,Z2
828,"Botticino, Molini fr.67",45.52885018,10.30776217,0,Z2
829,"Botticino, Mazzini 143",45.52912515,10.30465658,0,Z2
83,"Brescia, Triumplina fr.101",45.57231378,10.23166072,0,Z1
830,"Botticino, Longhetta, Scuole",45.53195575,10.30730938,0,Z2
831,"Botticino, Speri, Casa Di Riposo",45.53563631,10.30465378,0,Z2
832,"Botticino, Speri 15",45.53491143,10.30085744,0,Z2
833,"Botticino, Cavour 42",45.53359454,10.29776484,0,Z2
834,"Botticino, Cavour 84",45.53174171,10.29576761,0,Z2
835,"Collebeato, Capolinea",45.58166909,10.20754927,0,Z2
836,"Collebeato, Togliatti",45.58065801,10.21105763,0,Z2
837,"Collebeato, Verdi 4",45.58111917,10.2132993,0,Z2
838,"Collebeato, De Gasperi",45.57921082,10.21343268,0,Z2
839,"Collebeato, Roma, Cimitero",45.57907605,10.21567136,0,Z2
84,"Brescia, Triumplina 194",45.57489715,10.23091345,0,Z1
840,"Collebeato, Quaglieni",45.58222757,10.21558819,0,Z2
841,"Collebeato, Quaglieni 1",45.58429704,10.21617979,0,Z2
848,"Collebeato, S.Francesco 51",45.58502212,10.22072147,0,Z2
85,"Brescia, Tamburini 28",45.57794164,10.23082726,0,Z1
851,"Collebeato, Moro fr.6",45.58698318,10.21554363,0,Z2
852,"Collebeato, Borghini fr.2",45.58416088,10.21376033,0,Z2
853,"Collebeato, Martinengo 14",45.58437197,10.21229367,0,Z2
854,"Collebeato, Fermi fr.5",45.58307194,10.21048815,0,Z2
856,"Brescia, Mario",45.53669658,10.23096979,0,Z1
857,"Brescia, Castellini, Capolinea",45.53411325,10.23596151,0,Z1
858,"Brescia, Brusato 22",45.53839656,10.22972811,0,Z1
86,"Brescia, Tamburini 2",45.58042504,10.23208276,0,Z1
861,"Brescia, San Zeno",45.51661596,10.21510308,0,Z1
862,"Brescia, San Zeno",45.5168604,10.21537531,0,Z1
863,"Brescia, Badia 113",45.54857408,10.16961281,0,Z1
864,"Brescia, Badia 61",45.54790465,10.17454071,0,Z1
865,"Brescia, Badia 21",45.54726853,10.17676855,0,Z1
866,"Brescia, Castiglioni 21",45.54882354,10.17887414,0,Z1
867,"Brescia, Badia 30",45.54733798,10.17657965,0,Z1
868,"Brescia, Badia 60",45.54819077,10.17345179,0,Z1
869,"Brescia, Badia fr.113",45.54864074,10.16889891,0,Z1
87,"Brescia, Prima fr.56, Vill.Prealpino",45.58232783,10.23206605,0,Z1
870,"Brescia, Re Rotari fr.19",45.54634929,10.16926217,0,Z1
871,"Brescia, Re Rotari 76",45.54313791,10.16753784,0,Z1
872,"Brescia, Ventunesima fr.6, Vill.Violino",45.54193451,10.16955877,0,Z1
873,"Botticino, Molini",45.53105026,10.30988923,0,Z2
874,"Botticino, Molini fr.38",45.53101097,10.31005413,0,Z2
875,"Borgosatollo, Caduti Del Lavoro",45.47731323,10.23636737,0,Z2
876,"Borgosatollo, Molino Vecchio 14",45.47639363,10.24123704,0,Z2
877,"Borgosatollo, Matteotti fr.36",45.47955212,10.23807847,0,Z2
878,"Brescia, Cefalonia 10",45.52722432,10.20665967,0,Z1
879,"Castenedolo, Monte Pasubio fr.108",45.47729387,10.26043148,0,Z2
88,"Brescia, Del Brolo 20, Vill.Prealpino",45.58285837,10.23083826,0,Z1
882,"Brescia, Baresani",45.49416869,10.21020314,0,Z1
883,"Brescia, San Zeno",45.4920937,10.20989202,0,Z1
884,"Brescia, Malta 73",45.49211868,10.20546977,0,Z1
885,"Brescia, Malta 49",45.49442146,10.20595587,0,Z1
886,"Botticino, Speri 135",45.53499188,10.30633712,0,Z2
887,"Brescia, S.Gottardo fr.6, Capolinea",45.54254814,10.25191605,0,Z1
888,"Brescia, Caionvico, Capolinea",45.52357213,10.28989816,0,Z1
89,"Brescia, Del Brolo 54",45.58518066,10.23176043,0,Z1
893,"Botticino, Mazzini",45.53304875,10.30119088,0,Z2
894,"Botticino, Carini 82",45.53852243,10.30207041,0,Z2
895,"Botticino, Panoramica 82",45.5399808,10.30346486,0,Z2
896,"Botticino, Panoramica fr.45",45.54312245,10.30005092,0,Z2
897,"Botticino, Panoramica fr.51",45.54651137,10.29891478,0,Z2
898,"Botticino, Panoramica fr.65",45.55075588,10.29841884,0,Z2
899,"Botticino, Panoramica fr.81",45.55366712,10.30426463,0,Z2
9,"Brescia, Vill.Prealpino, Capolinea",45.58665573,10.23496595,0,Z1
90,"Brescia, Del Brolo 80, Vill.Prealpino",45.58715293,10.23242148,0,Z1
900,"Botticino, S.Gallo fr.5",45.55617827,10.30500623,0,Z2
901,"Botticino, S.Gallo fr.34",45.56106173,10.30723669,0,Z2
902,"Botticino, S.Gallo fr.106",45.56376736,10.3084394,0,Z2
903,"Botticino, S.Gallo fr.109",45.56830355,10.30965042,0,Z2
904,"Botticino, S.Gallo fr.119",45.56992796,10.30984955,0,Z2
905,"Botticino, S.Gallo 168",45.57156931,10.31490129,0,Z2
906,"Botticino, S.Gallo fr.163",45.5722121,10.31999207,0,Z2
907,"Serle, Castello fr.100",45.57340394,10.33457829,0,Z2
908,"Serle, Castello fr.90",45.57488163,10.33661827,0,Z2
909,"Serle, Castello",45.57527906,10.34120055,0,Z2
91,"Brescia, Canossi",45.58734186,10.23537983,0,Z2
910,"Serle, Castello fr.42",45.57520955,10.33570604,0,Z2
911,"Serle, Castello 100",45.5733345,10.33458941,0,Z2
912,"Botticino, S.Gallo 165",45.57459275,10.32525875,0,Z2
913,"Botticino, S.Gallo 143",45.57169829,10.31406551,0,Z2
914,"Botticino, S.Gallo 119",45.57033972,10.31033094,0,Z2
915,"Botticino, S.Gallo fr.68",45.56607019,10.30915605,0,Z2
916,"Botticino, S.Gallo 77",45.56393403,10.30851719,0,Z2
917,"Botticino, S.Gallo fr.38",45.56153118,10.30741447,0,Z2
918,"Botticino, S.Gallo 5",45.55608104,10.30486182,0,Z2
919,"Botticino, Panoramica 81",45.55405602,10.30406739,0,Z2
92,"Bovezzo, Canossi 5",45.5870808,10.23920764,0,Z2
920,"Botticino, Panoramica 67",45.55098645,10.29853687,0,Z2
921,"Botticino, Panoramica 47/e",45.54601413,10.29885089,0,Z2
922,"Botticino, Panoramica 45",45.54318079,10.29999257,0,Z2
923,"Botticino, IV Novembre",45.53998358,10.30340096,0,Z2
924,"Botticino, Carini fr.82",45.53867902,10.30206367,0,Z2
925,"Botticino, Mazzini 55/a",45.53274737,10.30196209,0,Z2
926,"Botticino, S.Gallo fr.165",45.57453088,10.32531597,0,Z2
927,"Botticino, S.Gallo 163",45.57225098,10.32006985,0,Z2
93,"Bovezzo, Veneto 31",45.58773367,10.24256875,0,Z2
930,"Brescia, Bramante 1",45.52516891,10.25034503,0,Z1
932,"Brescia, Branze 43, Lato Sud",45.56379908,10.23174641,0,Z1
933,"Brescia, Branze 38, Lato Nord",45.56411362,10.23102204,0,Z1
934,"Brescia, Lonati, Lato Sud",45.52586334,10.25070615,0,Z1
935,"Brescia, Lonati, Lato Nord",45.52602167,10.25050892,0,Z1
936,"Brescia, Fossa Bagni, Metrobus",45.54510765,10.22068624,0,Z1
937,"Brescia, Fossa Bagni, Galleria",45.54417438,10.22423284,0,Z1
938,"Borgosatollo, Molino Vecchio 118",45.4768361,10.24565443,0,Z2
939,"Brescia, Prima 140, Vill.Badia",45.54996291,10.15650418,0,Z1
940,"Brescia, Ottava 44, Vill.Badia",45.55250181,10.15825973,0,Z1
941,"Brescia, Ottava 92, Vill.Badia",45.55409908,10.1600792,0,Z1
942,"Brescia, Ottava fr.48, Vill.Badia",45.55256015,10.15824862,0,Z1
944,"Brescia, Venturi fr.117, Boninsegna",45.49694064,10.16793323,0,Z1
945,"Flero, Manzoni 63",45.49603787,10.16636377,0,Z1
948,"Flero, Quinzano fr.18",45.49584616,10.16229983,0,Z1
95,"Bovezzo, Veneto 21",45.59053371,10.24317147,0,Z2
953,"Brescia, Togni 42",45.53577976,10.20352221,0,Z1
955,"Brescia, Crocifissa Di Rosa 74",45.55167983,10.22767464,0,Z1
96,"Brescia, Gramsci 14",45.53589119,10.2186359,0,Z1
99,"Brescia, Cremona 44",45.52777434,10.22358644,0,Z1
